iter,time,reward,steps,convergence,,,
122,0.1136,92,10,3.291278383,3.582772641,1.75465874,2.989712273
123,0.146,93,9,3.384975367,3.71229258,1.779174016,2.814806711
124,0.1922,84,18,3.182528427,3.957797951,1.799031389,2.120254871
125,0.0979,88,14,3.183519046,3.319584485,2.32147802,1.948360469
126,0.0964,92,10,3.157858001,3.298936976,2.910820203,2.144556662
127,0.1314,88,14,3.155238882,3.481884809,2.949460071,1.997967527
128,0.1464,92,10,3.168602588,3.132621415,3.309298016,1.912555493
129,0.1768,92,10,2.667669861,3.121156014,3.321995103,1.578990999
130,0.1453,89,13,2.063583979,3.214864834,3.282343756,2.004194139
131,0.1462,92,10,1.966718076,3.299202771,3.871470202,1.913006359
132,0.1915,93,9,2.002901755,3.261167531,3.422415758,2.063441186
133,0.1695,90,12,2.062855852,3.273159189,3.64471087,2.042509251
134,0.1089,88,14,1.861979037,3.177222708,4.038746217,2.009400135
135,0.1353,93,9,1.714962476,3.27615295,3.744840055,2.075577102
136,0.131,91,11,1.765682091,3.380329323,3.417995597,2.060999992
137,0.1197,93,9,1.658642273,2.856453048,3.489352015,2.097848628
138,0.1917,89,13,1.543129777,2.839617032,3.259537141,2.12118029
139,0.1556,92,10,1.339108177,2.441614087,3.387016333,2.571802651
140,0.2055,92,10,1.523266947,2.394601429,3.372445107,2.265906777
141,0.1258,87,15,1.462019574,2.294143978,2.894869033,2.446994861
142,0.1773,93,9,1.385401916,2.31472654,2.954375211,2.377126201
143,0.1754,92,10,1.242756593,2.13535431,2.597220101,2.530304289
144,0.1858,92,10,1.232818073,2.243697732,2.21955075,3.289475473
145,0.2104,84,18,1.217995331,2.031557047,2.112007714,3.206445161
146,0.2209,91,11,1.044214888,1.948099923,1.987888998,3.55194703
147,0.1111,85,17,1.778379793,2.330959813,1.945486335,4.119018221
148,0.1471,91,11,1.837720795,2.3704947,2.262999207,4.002459086
149,0.1461,87,15,1.881363974,2.455989565,2.13225486,3.393995647
150,0.2122,90,12,1.660351087,2.466313121,2.152305422,3.402500175
151,0.201,93,9,2.427380078,2.971757031,2.1573106,3.706716737
152,0.1251,92,10,2.603966046,3.164112347,2.663562103,4.034164954
153,0.1463,93,9,2.960973206,3.313417185,2.746727259,4.052811093
154,0.1544,92,10,2.938721263,2.699040099,2.715714104,3.410498153
155,0.1603,92,10,2.915019059,2.774438952,2.533644041,3.549051132
156,0.1004,90,12,3.009012111,2.723092316,2.903239409,3.154825826
157,0.1809,90,12,2.298817175,2.425851717,2.850302298,3.050187324
158,0.1195,90,12,2.331530068,2.404557651,2.411284059,3.169890796
159,0.1539,92,10,2.372144444,2.28598676,3.136175434,3.852587723
160,0.1466,92,10,2.363456935,2.656223813,3.242207013,3.843774438
161,0.1769,88,14,2.195995403,2.15204913,3.121979414,3.537367436
162,0.1138,86,16,1.986171129,2.656351485,2.620492985,3.601400193
163,0.1091,92,10,2.088145726,2.574331638,2.622513541,4.042186801
164,0.0961,93,9,2.211647568,2.533961507,2.609343237,4.580586242
165,0.1092,89,13,2.890000303,2.507613413,2.57679453,4.620162319
166,0.096,84,18,2.898796511,2.955799705,2.527519481,4.485263567
167,0.147,91,11,3.362676164,2.857399428,2.435302714,4.088272746
168,0.1099,89,13,3.339286185,2.920723301,2.525271545,4.092753705
169,0.1893,89,13,3.354636977,3.320344134,1.968630548,3.532958485
170,0.1272,91,11,4.034578746,3.028490798,2.424348988,4.023360613
171,0.1874,82,20,3.549059512,3.14072901,2.440386687,3.976163944
172,0.1576,91,11,3.63193075,2.529348267,2.585072696,3.575692145
173,0.1523,91,11,3.165439097,3.02681349,2.541807,3.76675105
174,0.1224,92,10,3.226691071,3.150764627,2.506620685,3.671862716
