iter,reward,steps,convergence,policy,reward,convergence,,reward,convergence
223,69,33,0.238727166,,86,2.860436871,,89,29.23892228
224,76,26,0.235739271,,91,2.159855814,,85,27.59771099
225,92,10,0.236330077,,90,2.272389117,,71,22.87560381
226,86,16,0.236688007,,93,2.403493926,,92,23.11454016
227,88,14,0.233817847,,93,2.23081441,,92,24.94424246
228,92,10,0.230226819,,88,2.330121938,,93,25.7179675
229,90,12,0.227186053,,93,2.325086848,,32,19.28381269
230,86,16,0.224175696,,93,2.137758293,,80,19.69412899
231,76,26,0.220972259,,82,2.084709038,,53,26.37130821
232,71,31,0.220017089,,89,2.072622445,,27,31.56888712
233,78,24,0.244933544,,92,2.145017906,,93,32.07927987
234,79,23,0.310527069,,90,2.169677812,,82,32.97405941
235,32,70,0.309719638,,92,2.167818067,,86,37.82215248
236,83,19,0.357435603,,90,2.115207905,,92,33.83226509
237,91,11,0.358479811,,84,2.516322182,,80,34.40766776
238,91,11,0.361701167,,80,3.174222201,,92,34.86276352
239,90,12,0.362146492,,84,3.292104789,,68,34.94759565
240,93,9,0.362587364,,93,2.921549903,,84,36.41514023
241,89,13,0.369741223,,93,3.051014787,,91,30.94533525
242,88,14,0.371607385,,91,3.111131656,,92,26.31489034
243,93,9,0.345443952,,89,3.673807002,,87,25.72012092
244,86,16,0.278628264,,92,3.730749447,,90,31.31608458
245,89,13,0.349198394,,92,3.658342002,,85,24.64411882
246,89,13,0.348399529,,91,3.569079038,,71,25.735861
247,86,16,0.34629661,,86,3.185181463,,43,20.92389217
248,92,10,0.413341996,,85,3.034671716,,75,25.76114906
249,91,11,0.439535702,,89,3.483501702,,62,26.959066
250,92,10,0.439737988,,93,3.512660542,,81,24.71208049
251,91,11,0.459755416,,88,3.545204926,,62,25.60302247
252,93,9,0.45872154,,91,4.233266292,,70,25.8923043
253,85,17,0.45857135,,89,3.746620662,,92,27.72945112
254,93,9,0.461643285,,93,3.611515248,,92,27.80030379
