iter,time,reward,steps,convergence,,time,reward,steps,convergence
181,1909.2582,-6,108,0,,1316.1763,10,92,0
182,2022.9682,4,98,0,,1318.0577,-4,106,0
183,1945.9026,-25,127,0,,1325.2367,7,95,0
184,1957.9106,2,100,0,,1344.1319,-13,115,0
185,2060.6336,13,89,0,,1346.2333,5,97,0
186,2061.0891,8,94,0,,1369.4742,0,102,0
187,2228.9096,-4,106,0,,1359.3195,15,87,0
188,2096.4319,11,91,0,,1359.995,6,96,0
189,2098.9503,0,102,0,,1379.4709,4,98,0
190,2078.5668,-11,113,0,,1385.2576,10,92,0
191,2148.256,8,94,0,,1393.8762,-2,104,0
192,2155.8339,1,101,0,,1419.3897,1,101,0
193,2062.7164,7,95,0,,1417.0667,-4,106,0
194,2062.7892,2,100,0,,1419.7851,-12,114,0
195,2120.003,-24,126,0,,1416.532,10,92,0
196,2128.4088,6,96,0,,1419.4009,8,94,0
197,2065.0456,2,100,0,,1444.0158,6,96,0
198,2083.5027,-16,118,0,,1448.2874,3,99,0
199,2093.8063,12,90,0,,1528.0905,16,86,0
200,2099.9596,16,86,0,,1471.8145,3,99,0
201,2150.722,8,94,0,,1466.6534,-7,109,0
202,2146.0337,9,93,0,,1456.0602,5,97,0
203,2266.3586,4,98,0,,1479.5322,6,96,0
204,2272.8763,2,100,0,,1471.6116,2,100,0
205,2288.6712,7,95,0,,1490.7745,5,97,0
206,2317.7461,-9,111,0,,1552.9171,0,102,0
207,2180.6019,2,100,0,,1516.4148,1,101,0
208,2198.0125,1,101,0,,1514.2694,-2,104,0
209,2224.1679,-10,112,0,,1570.2229,-2,104,0
210,2287.1188,0,102,0,,1670.7315,0,102,0
211,2322.2834,13,89,0,,1933.5871,-8,110,0
212,2350.7049,5,97,0,,1732.2861,1,101,0
213,2363.1672,-8,110,0,,1553.8899,9,93,0
214,2451.1714,-11,113,0,,1553.7749,6,96,0
215,2379.7739,7,95,0,,1580.9372,15,87,0
216,2363.0632,-1,103,0,,1606.1551,4,98,0
217,2410.2315,-9,111,0,,1611.3201,-31,133,0
218,2398.4784,1,101,0,,1601.4879,-2,104,0
219,2477.2536,-9,111,0,,1635.7176,-3,105,0
220,2524.8919,-5,107,0,,1601.4913,16,86,0
221,2455.8631,2,100,0,,1599.3882,12,90,0
222,2458.3928,10,92,0,,1615.6248,3,99,0
223,2670.3086,-3,105,0,,1705.6589,9,93,0
224,2508.6124,5,97,0,,1618.2065,10,92,0
225,2494.5686,4,98,0,,1642.3154,-3,105,0
226,2546.5815,13,89,0,,1624.5252,4,98,0
227,2566.8984,8,94,0,,1676.4801,1,101,0
228,2444.4211,-9,111,0,,1877.6012,-1,103,0
229,2507.0512,-1,103,0,,1666.9741,24,78,0
230,2523.1233,13,89,0,,1636.012,-6,108,0
231,2547.9195,4,98,0,,1652.2696,14,88,0
232,2485.5579,11,91,0,,1655.8428,3,99,0
233,2500.1771,-1,103,0,,1687.9013,-12,114,0
234,2649.0254,-10,112,0,,1806.5376,-4,106,0
235,2634.949,12,90,0,,1714.6193,-3,105,0
236,2608.3996,1,101,0,,1682.3358,1,101,0
237,2638.6918,-1,103,0,,1717.2641,-5,107,0
238,2655.4898,4,98,0,,1716.4492,11,91,0
239,2708.7882,4,98,0,,1739.4659,5,97,0
240,2661.4083,-7,109,0,,1746.3825,8,94,0
241,2692.3938,12,90,0,,1767.2266,-12,114,0
242,2812.4377,13,89,0,,1763.8547,-8,110,0
